name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Sione Vaki,DET,RB,23.6,11958,11729,16678,23,434,114,-39
Jarrett Stidham,DEN,QB,28.6,7992,6136,14063,23,435,69,24
Trey Lance,DAL,QB,24.9,4875,7610,15240,22,436,70,-109
Kenny McIntosh,SEA,RB,25,9850,10216,16170,19,437,115,9
Brevin Jordan,HOU,TE,24.7,6946,7568,15330,17,438,59,18
Devin Culp,TB,TE,25.1,11801,11820,16796,13,439,60,14
Drew Lock,NYG,QB,28.4,3577,5854,14057,11,440,71,-101
Carson Wentz,KC,QB,32.2,7100,3161,12610,6,441,72,7
Mason Tipton,NO,WR,24.5,12233,11895,UNK,5,442,150,-67
Josh Whyle,TEN,TE,25.5,9961,10212,16312,2,443,61,3
